Source,Target,Path,Steps
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,18
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,18
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,17
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,17
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,17
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,17
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,16
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,16
population growth rate,energy consumption per year,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,16
population growth rate,energy consumption per year,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,16
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,16
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,16
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,16
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,16
